current,averageCurrent,peakCurrent,minCurrent,fluctuationRate,risk
8.89,8.6,11.66,5.25,3.98,0
15.68,14.09,17.41,9.18,3.23,0
5.29,5.2,6.42,3.9,0.64,0
2.66,2.56,3.22,1.79,2.2,0
4.22,3.74,4.67,2.33,5.91,0
13.27,13.49,17.55,9.64,2.64,0
13.6,12.76,14.83,9.83,8.54,1
9.38,9.9,13.48,6.84,5.66,0
6.2,6.38,8.67,4.26,0.55,0
8.73,8.24,10.0,5.98,4.96,0
7.83,8.2,11.13,5.63,5.57,0
7.24,7.21,9.25,5.14,7.71,1
12.11,11.55,15.47,7.07,2.87,0
5.89,5.83,7.79,3.81,3.25,0
8.77,8.12,9.73,5.87,9.39,1
8.33,7.63,9.04,5.51,7.02,1
8.14,7.77,9.24,5.91,6.49,0
5.18,5.09,6.82,3.26,8.66,1
9.08,8.37,10.34,5.69,6.78,0
4.98,4.7,6.11,3.03,7.14,1
9.44,9.29,11.66,6.78,5.15,0
6.27,5.84,6.89,4.35,4.05,0
8.53,7.76,9.55,5.19,2.41,0
11.74,11.7,16.85,6.5,3.75,0
8.21,7.26,8.71,4.86,0.62,0
6.49,6.64,9.1,4.32,8.9,1
3.8,3.64,4.47,2.66,8.05,1
7.9,7.93,10.77,5.12,6.76,0
11.49,10.07,12.21,6.51,1.28,0
12.78,11.9,14.76,8.16,6.06,0
6.3,6.12,8.51,3.55,2.91,0
6.72,6.34,8.44,3.86,5.08,0
8.35,8.61,12.1,5.38,5.44,0
5.73,5.89,8.21,3.73,7.14,1
7.38,6.92,7.99,5.41,4.23,0
7.32,6.54,7.75,4.55,4.58,0
4.09,4.16,5.73,2.67,3.13,0
7.19,6.74,8.05,4.98,1.66,0
6.31,6.6,8.92,4.57,5.62,0
5.89,5.93,8.28,3.6,8.99,1
7.02,7.44,10.05,5.26,7.83,1
4.98,4.91,6.38,3.39,5.06,0
10.27,9.5,11.18,7.06,1.05,0
7.94,7.76,10.43,4.92,5.46,0
2.89,2.89,4.01,1.76,2.72,0
8.45,7.41,9.07,4.71,3.53,0
7.39,7.21,9.77,4.46,5.84,0
3.66,3.48,4.2,2.58,3.84,0
9.48,9.95,13.49,6.89,7.84,1
2.26,2.28,3.09,1.5,1.05,0
6.19,5.98,8.09,3.66,8.82,1
9.73,8.97,11.7,5.48,2.59,0
7.71,7.23,9.37,4.6,6.54,0
9.07,8.56,10.08,6.53,2.93,0
8.78,8.79,11.16,6.42,3.03,0
5.84,5.69,7.18,4.06,8.39,1
5.97,5.49,6.77,3.74,3.45,0
9.9,9.54,12.2,6.52,5.82,0
1.75,1.66,2.16,1.06,9.08,1
11.45,11.04,14.37,7.32,8.88,1
4.76,4.69,6.16,3.15,7.62,1
6.17,5.92,8.17,3.42,7.61,1
13.44,12.23,14.5,8.74,8.45,1
6.55,5.72,6.9,3.72,0.71,0
12.43,12.16,15.99,8.05,9.7,1
4.76,4.4,5.01,3.44,8.77,1
9.56,9.65,13.74,5.66,7.18,1
9.18,9.2,12.2,6.21,3.57,0
11.16,11.1,15.74,6.39,4.32,0
8.21,8.26,10.46,6.11,7.19,1
6.58,6.17,8.17,3.77,7.8,1
14.23,13.99,19.02,8.71,7.89,1
12.32,11.89,16.08,7.28,4.25,0
4.55,4.57,6.59,2.57,7.68,1
6.75,6.59,8.55,4.45,6.11,0
8.28,7.63,10.0,4.62,1.2,0
10.93,10.85,14.19,7.42,3.36,0
7.43,6.72,8.56,4.15,6.07,0
13.73,13.75,17.38,10.16,8.38,1
2.71,2.68,3.58,1.76,0.58,0
7.9,7.41,8.85,5.47,0.67,0
7.62,8.0,10.86,5.5,1.43,0
3.73,3.54,4.7,2.19,3.69,0
6.82,6.87,9.52,4.27,7.8,1
9.0,8.85,11.87,5.7,1.13,0
10.05,10.06,13.53,6.59,7.59,1
14.37,14.57,18.64,10.7,3.32,0
8.04,8.15,11.1,5.31,8.65,1
9.1,8.31,10.75,5.09,5.98,0
8.39,7.59,9.16,5.23,2.82,0
8.9,8.56,11.36,5.42,1.41,0
9.96,10.26,14.42,6.39,6.16,0
10.01,9.45,12.13,6.2,2.71,0
7.28,6.55,7.81,4.55,2.18,0
9.49,9.51,12.65,6.4,8.71,1
9.94,8.68,10.59,5.51,6.33,0
3.16,3.05,3.93,2.06,2.4,0
6.74,6.38,8.16,4.24,3.54,0
10.85,9.58,11.56,6.34,7.33,1
1.88,1.87,2.47,1.25,9.51,1
9.55,9.94,13.32,6.94,9.93,1
9.14,8.82,12.01,5.32,4.11,0
10.77,10.63,13.51,7.63,8.03,1
10.89,10.22,12.94,6.84,5.7,0
8.61,8.36,11.51,4.95,2.42,0
10.49,9.82,11.96,7.01,1.94,0
9.33,9.28,12.39,6.11,0.05,0
8.92,8.33,10.57,5.5,9.02,1
12.21,12.48,16.28,8.94,3.88,0
11.5,10.46,13.15,6.74,1.1,0
10.75,10.56,13.83,7.1,0.01,0
5.55,5.17,6.12,3.85,1.9,0
10.04,9.75,12.51,6.7,0.39,0
8.64,8.33,10.36,6.0,9.58,1
8.59,8.1,9.39,6.31,8.22,1
9.49,8.76,11.18,5.6,4.94,0
12.76,11.92,13.8,9.21,2.3,0
8.3,8.26,11.39,5.1,8.95,1
8.39,8.06,10.9,4.89,6.96,0
1.92,1.79,2.03,1.42,4.37,0
9.03,8.63,11.39,5.46,6.21,0
14.57,14.97,20.22,10.11,9.06,1
10.47,10.72,14.21,7.48,2.16,0
13.26,13.21,18.63,7.74,7.5,1
11.3,9.94,12.0,6.53,0.42,0
4.57,4.13,5.3,2.53,0.95,0
6.66,6.79,8.74,4.97,0.09,0
0.1,0.09,0.11,0.06,6.48,0
5.63,5.82,7.67,4.16,8.71,1
11.47,11.38,14.28,8.37,9.21,1
8.99,9.12,11.65,6.73,1.24,0
7.45,6.72,8.54,4.17,5.07,0
9.42,9.36,11.73,6.93,2.64,0
7.92,7.98,10.19,5.82,0.76,0
7.21,7.17,9.54,4.76,7.57,1
10.37,10.73,14.52,7.28,6.95,0
2.4,2.42,3.11,1.76,3.59,0
9.45,9.35,11.63,6.97,6.41,0
6.78,6.35,7.4,4.89,3.27,0
12.4,12.28,17.33,7.1,4.33,0
6.88,6.9,9.96,3.88,6.62,0
5.23,4.89,6.44,3.0,2.22,0
7.1,6.7,7.95,5.04,8.07,1
5.46,5.03,5.91,3.72,4.99,0
9.24,9.3,11.99,6.68,2.6,0
0.14,0.14,0.2,0.08,1.26,0
4.29,4.45,6.04,3.04,0.01,0
5.13,5.2,6.96,3.5,6.13,0
7.42,7.21,9.81,4.4,1.96,0
1.63,1.48,1.84,0.98,5.49,0
6.85,6.76,8.35,5.07,4.91,0
7.96,7.49,9.24,5.26,2.74,0
9.04,8.58,11.45,5.26,2.09,0
10.14,9.74,12.51,6.57,0.08,0
2.89,2.96,4.16,1.83,0.15,0
14.57,14.21,19.26,8.78,3.45,0
14.4,14.31,18.27,10.27,7.29,1
9.42,8.7,10.38,6.29,0.08,0
7.05,7.06,9.58,4.55,9.18,1
5.07,4.83,6.3,3.12,3.68,0
7.39,6.86,8.04,5.14,1.86,0
5.61,5.72,7.83,3.72,1.6,0
9.63,9.79,12.55,7.2,4.54,0
8.88,8.77,11.57,5.85,9.81,1
12.74,11.33,13.77,7.49,7.13,1
7.77,7.9,10.51,5.42,7.93,1
5.89,5.47,6.9,3.62,6.2,0
